what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578083883534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083897157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083907861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083939878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083943513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083950822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083954446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083958121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083964574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083969308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083971007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083983837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083994022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578083998729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084007916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084014470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084017372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084021016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084027712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578084036536
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578084045858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084049323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084055065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084059021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084061168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578084070149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084074504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084079341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084081912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084086616
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084086788
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084086828
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578084097556
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084097556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084099491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084126635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084130687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578084133638
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084133798
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084133843
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578084140026
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578084140026
