what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578840527972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578840531937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578840591463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578840637398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578840720059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578840721404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578840725877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578840875221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1578840913156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1578840916019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578840968972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578841019629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841021391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841025184
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578841026996
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578841027101
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1578841027823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1578841029032
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1578841031213
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1578841031214
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1578841031399
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1578841031528
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1578841031578
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1578841031790
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1578841031947
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1578841032076
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578841032400
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1578841033322
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578841033971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841035535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841037759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841043629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841046930
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1578841046969
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578841047976
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578841048057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841054155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841114480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841115920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841119872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841124354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578841348559
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578841352401
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1578841353774
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1578841357221
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1578842346660
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1578842346683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1578842365194
